year,scope,contributions_mio_eur,pension_outlays_mio_eur,contributions_source_table,contributions_source_page,pension_outlays_source_table,pension_outlays_source_page,data_status,selection_note
1960,Alte Bundesländer,6894,7286,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
1965,Alte Bundesländer,11502,11525,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
1970,Alte Bundesländer,21673,19630,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
1975,Alte Bundesländer,38992,37238,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
1980,Alte Bundesländer,56858,55921,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
1985,Alte Bundesländer,70385,72096,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
1990,Alte Bundesländer,89433,89923,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
1991,Insgesamt,106822,108942,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
1995,Insgesamt,138199,151004,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
1996,Insgesamt,144499,157005,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
1997,Insgesamt,152059,162397,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
1998,Insgesamt,152277,168001,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
1999,Insgesamt,159160,171775,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
2000,Insgesamt,162165,177751,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
2001,Insgesamt,163580,183344,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
2002,Insgesamt,164426,189747,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
2003,Insgesamt,168386,194864,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
2004,Insgesamt,168378,197450,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
2005,Insgesamt,167980,198812,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
2006,Insgesamt,179476,199423,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
2007,Insgesamt,173772,200658,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
2008,Insgesamt,179089,203162,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
2009,Insgesamt,180649,207642,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
2010,Insgesamt,184404,211042,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
2011,Insgesamt,188999,212200,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
2012,Insgesamt,192889,215999,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
2013,Insgesamt,193576,219084,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
2014,Insgesamt,200938,225752,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
2015,Insgesamt,206636,236187,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
2016,Insgesamt,214779,245671,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
2017,Insgesamt,224635,254925,Einnahmen allg. RV,244,Ausgaben allg. RV,245,amtliche_zahl_pdf_text_extraktion,Alte Bundesländer bis 1990; Insgesamt ab 1991; Neue Bundesländer nicht separat modelliert.
